Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9_Part_1,Q9_Part_2,Q9_Part_3,Q9_Part_4,Q9_Part_5,Q9_Part_6,Q9_Part_7,Q9_Part_8,Q10,Q11,Q13_Part_1,Q13_Part_2,Q13_Part_3,Q13_Part_4,Q13_Part_5,Q13_Part_6,Q13_Part_7,Q13_Part_8,Q13_Part_9,Q13_Part_10,Q13_Part_11,Q13_Part_12,Q14,Q14_Part_1_TEXT,Q14_Part_2_TEXT,Q14_Part_3_TEXT,Q14_Part_4_TEXT,Q14_Part_5_TEXT,Q14_OTHER_TEXT,Q15,Q16_Part_1,Q16_Part_2,Q16_Part_3,Q16_Part_4,Q16_Part_5,Q16_Part_6,Q16_Part_7,Q16_Part_8,Q16_Part_9,Q16_Part_10,Q18_Part_1,Q18_Part_2,Q18_Part_3,Q18_Part_4,Q18_Part_5,Q18_Part_6,Q18_Part_7,Q18_Part_8,Q18_Part_9,Q18_Part_10,Q19,Q20_Part_1,Q20_Part_2,Q20_Part_3,Q20_Part_4,Q20_Part_5,Q20_Part_6,Q20_Part_7,Q20_Part_8,Q20_Part_9,Q20_Part_10,Q21_Part_1,Q23,Q24_Part_1,Q24_Part_2,Q24_Part_3,Q24_Part_4,Q24_Part_5,Q24_Part_6,Q24_Part_7,Q24_Part_8,Q24_Part_9,Q24_Part_10,Q25_Part_1,Q25_Part_2,Q25_Part_3,Q25_Part_4,Q25_Part_5,Q25_Part_6,Q25_Part_7,Q25_Part_8,Q26_Part_1,Q26_Part_2,Q26_Part_3,Q26_Part_4,Q26_Part_5,Q27_Part_1,Q27_Part_2,Q27_Part_3,Q27_Part_4,Q28_Part_1,Q28_Part_2,Q28_Part_3,Q28_Part_4,Q28_Part_5,Q28_Part_6,Q28_Part_7,Q28_Part_8,Q28_Part_9,Q28_Part_10,Q29_Part_1,Q29_Part_2,Q29_Part_3,Q29_Part_4,Q29_Part_5,Q29_Part_6,Q29_Part_7,Q29_Part_8,Q29_Part_9,Q29_Part_10,Q34_Part_1,Q34_Part_2,Q34_Part_3,Q34_Part_4,Q34_Part_5,Q34_Part_6,Q34_Part_7,Q34_Part_8,Q34_Part_9,Q34_Part_10
35-39,Male,United States of America,Doctoral degree,Data Scientist,50-249 employees,No (we do not use ML methods),,,,,,,,,"100,000-124,999","> $100,000 ($USD)",Udacity,Coursera,,DataCamp,,,,Udemy,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,1576,-1,-1,10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,,,,,  Notepad++  ,,Python,R,,,,,,,,,Python, Ggplot / ggplot2 , Matplotlib ,,,,, Bokeh , Seaborn ,,,CPUs,2-3 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,,,None,,"General purpose image/video tools (PIL, cv2, skimage, etc)","Image segmentation methods (U-Net, Mask R-CNN, etc)","Object detection methods (YOLOv3, RetinaNet, etc)","Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",,"Word embeddings/vectors (GLoVe, fastText, word2vec)",,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest,,, Caret ,,,,,, Microsoft Azure ,,,,,,,,,,,Microsoft SQL Server,,,,,,
30-34,Female,United States of America,Doctoral degree,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,"150,000-199,999","> $100,000 ($USD)",Udacity,Coursera,,,,,,Udemy,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",-1,-1,-1,-1,286,-1,10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,  Vim / Emacs  ,,,Python,,SQL,,,,,,,,Python,, Matplotlib ,,,, Plotly / Plotly Express , Bokeh , Seaborn ,,,CPUs,4-5 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest,,,,, Spark MLib ,,, Amazon Web Services (AWS) ,,,,,,,,,MySQL,PostgresSQL,,,,,,,,
30-34,Male,United States of America,Masters degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,"125,000-149,999","$10,000-$99,999",,,,DataCamp,,Kaggle Courses (i.e. Kaggle Learn),,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,-1,-1,-1,-1,-1,3-5 years,, RStudio ,,,, Visual Studio / Visual Studio Code ,,,,,,R,SQL,,,,,,,,SQL,,,,,,,,,,,CPUs,2-3 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,,,None,,,,,,,,,,,,,, RandomForest,,, Caret ,,,,,, Microsoft Azure ,,,,,,,,,PostgresSQL,,Microsoft SQL Server,,,,,Azure SQL Database,
55-59,Male,United States of America,Bachelors degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,"100,000-124,999",$100-$999,,Coursera,,,DataQuest,Kaggle Courses (i.e. Kaggle Learn),Fast.ai,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,1577,-1,-1,20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,, Atom ,,,,,,,Python,R,SQL,,,,Javascript,,Bash,,Python, Ggplot / ggplot2 , Matplotlib ,,,, Plotly / Plotly Express ,,,,,CPUs,20+ years,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,Evolutionary Approaches,,,,,,,"Automated feature engineering/selection (e.g. tpot, boruta_py)","Automated model selection (e.g. auto-sklearn, xcessiv)",,,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,, RandomForest,, PyTorch ,,,,,, Amazon Web Services (AWS) ,,,,,,,,,MySQL,PostgresSQL,SQLite,,,,,,,
45-49,Male,United States of America,Bachelors degree,Data Engineer,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,"125,000-149,999","$1000-$9,999",,,,DataCamp,,,Fast.ai,Udemy,,,,,Other,-1,-1,-1,-1,-1,414,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,, Atom ,, Visual Studio / Visual Studio Code ,,,,,Python,,SQL,,,,,,Bash,,Python,, Matplotlib ,,,,,, Seaborn , Geoplotlib ,,,2-3 years,,Decision Trees or Random Forests,,,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost ,,,,, Fast.ai ,, Amazon Web Services (AWS) ,,,,,,,,,MySQL,,,Microsoft SQL Server,,,,AWS DynamoDB,,
35-39,Male,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"125,000-149,999","> $100,000 ($USD)",,Coursera,,,,Kaggle Courses (i.e. Kaggle Learn),,,LinkedIn Learning,University Courses (resulting in a university degree),,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,-1,-1,-1,-1,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,,,,Python,,SQL,,,,,,,,SQL,,,,,,, Bokeh ,,,,,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft SQL Server,Oracle Database,,,,Azure SQL Database,
45-49,Male,United States of America,Masters degree,Not employed,,,,,,,,,,,,,,Coursera,,DataCamp,,,,,,,,Other,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,30,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,,,,,,,Python,R,SQL,,,Java,,,,,Python, Ggplot / ggplot2 , Matplotlib ,,,,,, Seaborn ,,,CPUs,4-5 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,, Xgboost ,,,, Spark MLib ,,,,,,,,,,,,,,,,,,,,,
50-54,Male,United States of America,Doctoral degree,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,,,,,"150,000-199,999","$1000-$9,999",,,,,,,,,,,,Other,Other,-1,-1,-1,-1,-1,415,20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,, Visual Studio / Visual Studio Code ,,,  Notepad++  ,,Python,R,SQL,,,,Javascript,TypeScript,,,SQL, Ggplot / ggplot2 , Matplotlib ,,, D3.js ,,, Seaborn ,, Leaflet / Folium ,CPUs,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,, RandomForest,,,,,,,,, Microsoft Azure ,,,,,,,,MySQL,,,Microsoft SQL Server,Oracle Database,,,,Azure SQL Database,
45-49,Male,United States of America,Masters degree,Product/Project Manager,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,"150,000-199,999","> $100,000 ($USD)",Udacity,Coursera,,,,Kaggle Courses (i.e. Kaggle Learn),,Udemy,,,,,"Advanced statistical software (SPSS, SAS, etc.)",-1,85,-1,-1,-1,-1,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,United States of America,Doctoral degree,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,"150,000-199,999",$100-$999,Udacity,,,DataCamp,,,,Udemy,LinkedIn Learning,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,1583,-1,-1,10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,,,  Sublime Text  ,Python,,SQL,,,,,,,,Python,, Matplotlib ,,,, Plotly / Plotly Express ,, Seaborn ,,,CPUs,2-3 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,"Automated feature engineering/selection (e.g. tpot, boruta_py)",,,"Automated hyperparameter tuning (e.g. hyperopt, ray.tune)",,,,,,,,,,,,,  Scikit-learn ,, Keras , RandomForest,, PyTorch ,,,,,, Amazon Web Services (AWS) ,,,,,,,,,,,SQLite,,,,,,,
30-34,Male,United States of America,Masters degree,Business Analyst,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,,,,,,,Other,"125,000-149,999","> $100,000 ($USD)",,Coursera,,,,Kaggle Courses (i.e. Kaggle Learn),,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,-1,-1,-1,-1,-1,< 1 years,, RStudio ,,,,,,,,,,R,,,,,,,,,R, Ggplot / ggplot2 ,,,,,,,,,,,< 1 years,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"Automated model selection (e.g. auto-sklearn, xcessiv)",,,,,,,,,,,,,,,,,, RandomForest,,,,,,,,,,,,,,,,,,,,,,,,,,
30-34,Female,United States of America,Doctoral degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,,,,"125,000-149,999","$1000-$9,999",,Coursera,,,,,,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,28,-1,-1,5-10 years,, RStudio ,,,,,  Spyder  ,  Vim / Emacs  ,,  Sublime Text  ,Python,R,SQL,,,,,,Bash,,Python, Ggplot / ggplot2 ,,,, D3.js ,,,,,,CPUs,3-4 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,,,None,,,,,,,,,,,,,, RandomForest, Xgboost ,, Caret ,,,,, Amazon Web Services (AWS) ,,,,,,,,,MySQL,,,,,,,,,
50-54,Male,Canada,Doctoral degree,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),Analyze and understand data to influence product or business decisions,,,,,,,,"100,000-124,999",$100-$999,,,edX,,,,,Udemy,,,,Other,"Advanced statistical software (SPSS, SAS, etc.)",-1,202,-1,-1,-1,-1,10-20 years,, RStudio ,,, MATLAB ,,  Spyder  ,,  Notepad++  ,,Python,R,SQL,,,,,,,MATLAB,Python, Ggplot / ggplot2 , Matplotlib ,, Shiny ,,, Bokeh , Seaborn ,,,CPUs,3-4 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost ,, Caret ,,,,,,,,,,,,,,,,,Microsoft SQL Server,Oracle Database,,,,,
40-44,Male,United States of America,Masters degree,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"125,000-149,999","$1000-$9,999",,Coursera,,,,,Fast.ai,Udemy,LinkedIn Learning,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",-1,-1,9,-1,-1,-1,10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,, Visual Studio / Visual Studio Code ,,,  Notepad++  ,,Python,,SQL,,,Java,Javascript,,,,Python,, Matplotlib ,,,,,,,,,CPUs,3-4 years,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, PyTorch ,,,, Fast.ai ,,,,,,,,,,,MySQL,PostgresSQL,,Microsoft SQL Server,,,,,,
45-49,Male,United States of America,Masters degree,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,,$0-999,"$1000-$9,999",,,,,,,,,,,None,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",-1,-1,194,-1,-1,-1,20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,  Spyder  ,,  Notepad++  ,,Python,,SQL,,,,,,,,Python,, Matplotlib ,,,,,, Seaborn , Geoplotlib ,,CPUs,20+ years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost ,,, LightGBM ,,,,,,,,,,,,,MySQL,,,,Oracle Database,Microsoft Access,,,,
35-39,Male,Canada,Masters degree,Not employed,,,,,,,,,,,,,,Coursera,,,,Kaggle Courses (i.e. Kaggle Learn),,,LinkedIn Learning,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,38,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,, Atom ,, Visual Studio / Visual Studio Code ,,,,,Python,R,SQL,,,,,,,,Python,, Matplotlib ,,,,,, Seaborn ,, Leaflet / Folium ,CPUs,2-3 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,,,None,,"General purpose image/video tools (PIL, cv2, skimage, etc)",,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost ,,, LightGBM ,,,,,,,,,,,,,,,,,,,,,,
30-34,Male,Canada,Masters degree,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",,,,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"60,000-69,999","> $100,000 ($USD)",,Coursera,,,,,,,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",-1,-1,-1,-1,85,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",, PyCharm ,,, Visual Studio / Visual Studio Code ,,,,,Python,,,C,C++,,Javascript,,,,Python,, Matplotlib ,,,,,,,,,CPUs,1-2 years,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,,,,,None,,,,"Object detection methods (YOLOv3, RetinaNet, etc)",,,,,,,,  TensorFlow , Keras ,,,,,,,, Google Cloud Platform (GCP) ,,,,,,,,,,MySQL,PostgresSQL,,,,,,,,
22-24,Female,United States of America,Masters degree,Student,,,,,,,,,,,,,,Coursera,,,,,,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,3,-1,-1,1-2 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,,,,,,  Sublime Text  ,Python,R,SQL,,,,,,Bash,,Python,, Matplotlib ,,,,,, Seaborn ,,,CPUs,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,,, RandomForest,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Female,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,,"90,000-99,999",$100-$999,Udacity,Coursera,edX,,,,,Udemy,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,14,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,, Visual Studio / Visual Studio Code ,  Spyder  ,,,,Python,R,SQL,,,,,,,,Python, Ggplot / ggplot2 , Matplotlib , Altair , Shiny ,, Plotly / Plotly Express , Bokeh , Seaborn , Geoplotlib , Leaflet / Folium ,CPUs,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"Automated model selection (e.g. auto-sklearn, xcessiv)",,"Automated hyperparameter tuning (e.g. hyperopt, ray.tune)",,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch , Caret , LightGBM , Spark MLib , Fast.ai ,,, Microsoft Azure ,,,,,,,,MySQL,,SQLite,Microsoft SQL Server,Oracle Database,,,,Azure SQL Database,
60-69,Male,United States of America,Bachelors degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"150,000-199,999","> $100,000 ($USD)",,Coursera,,,,Kaggle Courses (i.e. Kaggle Learn),Fast.ai,Udemy,LinkedIn Learning,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,1589,-1,-1,10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio , PyCharm ,, MATLAB ,,  Spyder  ,,  Notepad++  ,,Python,R,,,,,Javascript,,,,Python,, Matplotlib ,,, D3.js ,,, Seaborn ,,,CPUs,5-10 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,"Automated data augmentation (e.g. imgaug, albumentations)","Automated feature engineering/selection (e.g. tpot, boruta_py)","Automated model selection (e.g. auto-sklearn, xcessiv)","Automated model architecture searches (e.g. darts, enas)","Automated hyperparameter tuning (e.g. hyperopt, ray.tune)","Automation of full ML pipelines (e.g. Google AutoML, H20 Driverless AI)",,,,,,,,,,,,,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch ,,, Spark MLib , Fast.ai ,, Amazon Web Services (AWS) ,,,,,,,,,,,,,,,,AWS DynamoDB,,
25-29,Male,United States of America,Bachelors degree,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,Experimentation and iteration to improve existing ML models,,,,"90,000-99,999",$0 (USD),,,,,,,,,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,192,-1,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,,,,,,  Vim / Emacs  ,,  Sublime Text  ,Python,,SQL,,,,Javascript,,Bash,,Python,, Matplotlib ,,, D3.js ,,, Seaborn ,,,CPUs,1-2 years,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,,,,,None,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-29,Female,United States of America,Masters degree,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,,,,"125,000-149,999","$1000-$9,999",,Coursera,,,,,,Udemy,,University Courses (resulting in a university degree),,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,1592,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,,,,  Vim / Emacs  ,,  Sublime Text  ,Python,R,SQL,,,,Javascript,,,,Python, Ggplot / ggplot2 , Matplotlib ,, Shiny , D3.js ,,,,, Leaflet / Folium ,,3-4 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"Automated model selection (e.g. auto-sklearn, xcessiv)",,"Automated hyperparameter tuning (e.g. hyperopt, ray.tune)",,,,"General purpose image/video tools (PIL, cv2, skimage, etc)","Image segmentation methods (U-Net, Mask R-CNN, etc)",,"Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",,,,,,  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost ,, Caret ,, Spark MLib ,, Google Cloud Platform (GCP) , Amazon Web Services (AWS) ,,,,,,,,,MySQL,PostgresSQL,,,,,AWS Relational Database Service,,,
18-21,Male,United States of America,Some college/university study without earning a bachelors degree,Software Engineer,50-249 employees,No (we do not use ML methods),,,,,,,,,"7,500-9,999",$0 (USD),,,,,,Kaggle Courses (i.e. Kaggle Learn),,,LinkedIn Learning,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,14,-1,-1,3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",,, Atom ,, Visual Studio / Visual Studio Code ,  Spyder  ,,  Notepad++  ,,Python,,,C,C++,,,TypeScript,,,Python,, Matplotlib ,,, D3.js ,,, Seaborn ,,,,2-3 years,Linear or Logistic Regression,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,"Automated data augmentation (e.g. imgaug, albumentations)",,,,,"Automation of full ML pipelines (e.g. Google AutoML, H20 Driverless AI)",,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,, Xgboost ,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,Male,United States of America,Bachelors degree,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,"90,000-99,999",$0 (USD),,,,DataCamp,,,,,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",-1,-1,196,-1,-1,-1,3-5 years,,, PyCharm ,,, Visual Studio / Visual Studio Code ,,,  Notepad++  ,,Python,,SQL,,,,Javascript,,,,SQL,,,,, D3.js ,,,,,,CPUs,< 1 years,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-39,Male,United States of America,Doctoral degree,Research Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,,"60,000-69,999","$1000-$9,999",Udacity,,,,,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",-1,-1,-1,1599,-1,-1,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,,,,,,,,,Python,R,SQL,,,,,,,,Python, Ggplot / ggplot2 , Matplotlib ,,,, Plotly / Plotly Express ,, Seaborn , Geoplotlib ,,,4-5 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,"Automated feature engineering/selection (e.g. tpot, boruta_py)","Automated model selection (e.g. auto-sklearn, xcessiv)",,,,,,"General purpose image/video tools (PIL, cv2, skimage, etc)","Image segmentation methods (U-Net, Mask R-CNN, etc)",,"Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",,"Word embeddings/vectors (GLoVe, fastText, word2vec)","Encoder-decorder models (seq2seq, vanilla transformers)","Contextualized embeddings (ELMo, CoVe)","Transformer language models (GPT-2, BERT, XLnet, etc)",  Scikit-learn ,  TensorFlow , Keras ,,, PyTorch ,, LightGBM ,,, Google Cloud Platform (GCP) ,,,,,,,,,,MySQL,PostgresSQL,,,,,,,,Google Cloud SQL
