,Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9_Part_1,Q9_Part_2,Q9_Part_3,Q9_Part_4,Q9_Part_5,Q9_Part_6,Q9_Part_7,Q10,Q11,Q13_Part_1,Q13_Part_2,Q13_Part_3,Q13_Part_4,Q13_Part_5,Q13_Part_6,Q13_Part_7,Q13_Part_8,Q13_Part_9,Q13_Part_10,Q14,Q15,Q16_Part_1,Q16_Part_2,Q16_Part_3,Q16_Part_4,Q16_Part_5,Q16_Part_6,Q16_Part_7,Q16_Part_8,Q16_Part_9,Q16_Part_10,Q18_Part_1,Q18_Part_2,Q18_Part_3,Q18_Part_4,Q18_Part_5,Q18_Part_6,Q18_Part_7,Q18_Part_8,Q18_Part_9,Q18_Part_10,Q20_Part_1,Q20_Part_2,Q20_Part_3,Q20_Part_4,Q20_Part_5,Q20_Part_6,Q20_Part_7,Q20_Part_8,Q20_Part_9,Q20_Part_10,Q23,Q24_Part_1,Q24_Part_2,Q24_Part_3,Q24_Part_4,Q24_Part_5,Q24_Part_6,Q24_Part_7,Q24_Part_8,Q24_Part_9,Q24_Part_10,Q26_Part_1,Q26_Part_2,Q26_Part_3,Q26_Part_4,Q26_Part_5,Q27_Part_1,Q27_Part_2,Q27_Part_3,Q27_Part_4,Q28_Part_1,Q28_Part_2,Q28_Part_3,Q28_Part_4,Q28_Part_5,Q28_Part_6,Q28_Part_7,Q28_Part_8,Q28_Part_9,Q28_Part_10,Q29_Part_1,Q29_Part_2,Q29_Part_3,Q34_Part_1,Q34_Part_2,Q34_Part_3,Q34_Part_4,Q34_Part_5,Q34_Part_6,Q34_Part_7,Q34_Part_8,Q34_Part_9,Q34_Part_10
354,30-34,Female,United States of America,Masters degree,Data Scientist,50-249 employees,3,True,False,False,False,True,True,False,"40,000-49,999","$1000-$9,999",Udacity,Coursera,edX,DataCamp,0,Kaggle Courses (i.e. Kaggle Learn),0,Udemy,0,University Courses (resulting in a university degree),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",0,0, Atom ,0, Visual Studio / Visual Studio Code ,  Spyder  ,0,0,0,Python,0,SQL,0,0,0,0,0,0,0,0, Matplotlib ,0,0,0, Plotly / Plotly Express ,0, Seaborn ,0,0,2-3 years,0,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",0,0,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,0,0,0,"General purpose image/video tools (PIL, cv2, skimage, etc)","Image segmentation methods (U-Net, Mask R-CNN, etc)",0,"Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",0,0,0,0,0,  Scikit-learn ,0,0, RandomForest, Xgboost , PyTorch ,0,0,0,0, Google Cloud Platform (GCP) ,0,0,MySQL,PostgresSQL,SQLite,Microsoft SQL Server,Oracle Database,Microsoft Access,0,0,0,0
355,50-54,Male,United States of America,Doctoral degree,Data Scientist,250-999 employees,2,True,False,False,False,True,True,False,"50,000-59,999","$1000-$9,999",0,0,0,0,0,0,0,0,0,University Courses (resulting in a university degree),"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,0, RStudio ,0,0,0, Visual Studio / Visual Studio Code ,0,0,0,0,Python,R,0,0,0,0,0,0,0,0, Ggplot / ggplot2 ,0,0,0,0,0,0,0,0,0,< 1 years,Linear or Logistic Regression,0,0,0,0,0,0,0,0,"Transformer Networks (BERT, gpt-2, etc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Microsoft Azure ,0,0,0,0,0,0,0,0,0,0
356,40-44,Male,United States of America,Masters degree,Software Engineer,50-249 employees,0,False,False,False,False,False,False,False,"150,000-199,999",$0 (USD),0,Coursera,0,0,0,0,0,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",10-20 years,0,0,0,0, MATLAB ,0,0,0,  Notepad++  ,0,Python,0,SQL,0,0,Java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,< 1 years,Linear or Logistic Regression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,40-44,Female,United States of America,Doctoral degree,Data Scientist,"> 10,000 employees",0,False,False,False,False,False,False,False,"150,000-199,999","> $100,000 ($USD)",Udacity,Coursera,edX,0,0,0,0,Udemy,0,University Courses (resulting in a university degree),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,0, Atom ,0, Visual Studio / Visual Studio Code ,  Spyder  ,  Vim / Emacs  ,  Notepad++  ,0,Python,R,SQL,C,C++,Java,0,0,Bash,0, Ggplot / ggplot2 , Matplotlib ,0, Shiny ,0, Plotly / Plotly Express , Bokeh , Seaborn ,0,0,10-15 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-2, etc)","General purpose image/video tools (PIL, cv2, skimage, etc)","Image segmentation methods (U-Net, Mask R-CNN, etc)","Object detection methods (YOLOv3, RetinaNet, etc)","Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)","Generative Networks (GAN, VAE, etc)","Word embeddings/vectors (GLoVe, fastText, word2vec)","Encoder-decorder models (seq2seq, vanilla transformers)","Contextualized embeddings (ELMo, CoVe)","Transformer language models (GPT-2, BERT, XLnet, etc)",  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost ,0,0,0,0,0, Google Cloud Platform (GCP) , Amazon Web Services (AWS) , Microsoft Azure ,MySQL,PostgresSQL,SQLite,Microsoft SQL Server,Oracle Database,Microsoft Access,0,0,0,0
358,55-59,Male,United States of America,Masters degree,Data Scientist,"1000-9,999 employees",4,True,True,True,True,True,True,False,"300,000-500,000","> $100,000 ($USD)",0,Coursera,0,0,0,Kaggle Courses (i.e. Kaggle Learn),0,Udemy,0,0,"Local development environments (RStudio, JupyterLab, etc.)",20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,0,0, MATLAB ,0,0,0,0,0,Python,R,SQL,0,0,Java,0,0,0,MATLAB, Ggplot / ggplot2 , Matplotlib ,0, Shiny ,0, Plotly / Plotly Express ,0, Seaborn ,0,0,20+ years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,0,0,Convolutional Neural Networks,0,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-2, etc)",0,0,0,0,0,"Word embeddings/vectors (GLoVe, fastText, word2vec)","Encoder-decorder models (seq2seq, vanilla transformers)","Contextualized embeddings (ELMo, CoVe)","Transformer language models (GPT-2, BERT, XLnet, etc)",  Scikit-learn ,  TensorFlow ,0,0, Xgboost , PyTorch ,0,0,0,0, Google Cloud Platform (GCP) , Amazon Web Services (AWS) , Microsoft Azure ,MySQL,PostgresSQL,0,0,Oracle Database,0,0,0,0,0
359,55-59,Male,United States of America,Masters degree,Research Scientist,"1000-9,999 employees",3,True,True,True,False,False,True,False,"70,000-79,999","$1000-$9,999",0,Coursera,0,0,0,0,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,0,0, MATLAB , Visual Studio / Visual Studio Code ,0,0,0,0,Python,R,0,0,0,0,0,0,0,MATLAB,0, Matplotlib ,0, Shiny ,0,0,0,0,0,0,20+ years,Linear or Logistic Regression,Decision Trees or Random Forests,0,0,0,0,0,0,Recurrent Neural Networks,0,0,0,0,0,0,"Word embeddings/vectors (GLoVe, fastText, word2vec)",0,0,0,  Scikit-learn ,  TensorFlow ,0, RandomForest,0,0, Caret ,0,0,0,0,0,0,0,0,0,Microsoft SQL Server,0,0,0,0,0,0
360,30-34,Male,United States of America,Masters degree,Student,Not employed,0,False,False,False,False,False,False,False,0-999,$0 (USD),0,0,0,0,0,0,0,0,0,University Courses (resulting in a university degree),"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",0,0,0, MATLAB , Visual Studio / Visual Studio Code ,  Spyder  ,0,0,0,Python,0,0,0,0,0,0,0,0,MATLAB,0, Matplotlib ,0,0,0,0,0,0,0,0,< 1 years,0,0,0,0,0,0,Convolutional Neural Networks,0,0,0,0,"Image segmentation methods (U-Net, Mask R-CNN, etc)",0,0,0,0,0,0,0,  Scikit-learn ,  TensorFlow ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,22-24,Female,United States of America,Masters degree,Student,Not employed,0,False,False,False,False,False,False,False,0-999,$0 (USD),0,0,0,0,0,0,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,0,0, MATLAB ,0,  Spyder  ,0,  Notepad++  ,  Sublime Text  ,Python,R,SQL,0,C++,Java,0,0,0,MATLAB, Ggplot / ggplot2 , Matplotlib ,0,0,0,0,0,0,0,0,< 1 years,Linear or Logistic Regression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,60-69,Male,United States of America,Doctoral degree,Data Scientist,250-999 employees,1,True,False,False,True,False,False,False,"150,000-199,999",$0 (USD),0,0,0,0,0,Kaggle Courses (i.e. Kaggle Learn),0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,0, RStudio , PyCharm ,0,0,0,0,  Vim / Emacs  ,  Notepad++  ,0,0,R,SQL,0,0,0,0,0,0,0, Ggplot / ggplot2 ,0,0, Shiny ,0, Plotly / Plotly Express ,0,0,0,0,5-10 years,0,Decision Trees or Random Forests,0,Bayesian Approaches,0,0,Convolutional Neural Networks,0,0,0,0,0,0,0,0,0,0,0,0,0,  TensorFlow , Keras , RandomForest,0,0, Caret ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,45-49,Male,United States of America,Masters degree,Data Scientist,"> 10,000 employees",4,True,False,True,False,True,False,False,0-999,"> $100,000 ($USD)",0,Coursera,0,DataCamp,0,0,0,0,0,University Courses (resulting in a university degree),"Local development environments (RStudio, JupyterLab, etc.)",10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,0,0,0,0,  Spyder  ,  Vim / Emacs  ,  Notepad++  ,0,Python,R,SQL,0,0,0,0,0,Bash,0, Ggplot / ggplot2 , Matplotlib ,0, Shiny ,0, Plotly / Plotly Express ,0, Seaborn ,0,0,5-10 years,Linear or Logistic Regression,Decision Trees or Random Forests,0,Bayesian Approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,0,0,0,0,0, Caret ,0,0,0,0, Amazon Web Services (AWS) ,0,MySQL,0,0,Microsoft SQL Server,Oracle Database,0,0,0,0,0
364,30-34,Female,United States of America,Masters degree,Data Scientist,"> 10,000 employees",2,True,True,True,True,True,True,False,"150,000-199,999",$0 (USD),Udacity,Coursera,edX,DataCamp,0,Kaggle Courses (i.e. Kaggle Learn),0,0,0,University Courses (resulting in a university degree),"Advanced statistical software (SPSS, SAS, etc.)",3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio , PyCharm ,0, MATLAB , Visual Studio / Visual Studio Code ,0,0,0,0,Python,R,SQL,0,0,0,0,0,0,MATLAB, Ggplot / ggplot2 , Matplotlib ,0,0,0, Plotly / Plotly Express ,0, Seaborn ,0,0,3-4 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,0,0, RandomForest,0,0, Caret ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,35-39,Male,United States of America,Masters degree,Product/Project Manager,0-49 employees,0,False,False,False,False,False,False,False,"50,000-59,999",$100-$999,0,0,0,0,0,0,0,Udemy,0,0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",10-20 years,0,0,0,0,0,0,0,0,0,  Sublime Text  ,Python,R,SQL,C,C++,0,Javascript,0,0,0,0,0,0,0,0, Plotly / Plotly Express ,0,0, Geoplotlib ,0,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Google Cloud Platform (GCP) , Amazon Web Services (AWS) ,0,MySQL,0,0,0,0,0,0,AWS DynamoDB,0,Google Cloud SQL
366,60-69,Male,United States of America,Masters degree,Statistician,"> 10,000 employees",0,False,False,False,False,False,False,False,"100,000-124,999","> $100,000 ($USD)",0,0,0,0,0,0,0,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",20+ years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Leaflet / Folium ,< 1 years,Linear or Logistic Regression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Microsoft SQL Server,0,0,0,0,0,0
367,22-24,Male,United States of America,Masters degree,Student,Not employed,0,False,False,False,False,False,False,False,0-999,$0 (USD),0,0,0,0,0,0,0,0,0,University Courses (resulting in a university degree),"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,0,0,0, Visual Studio / Visual Studio Code ,  Spyder  ,0,0,0,Python,R,SQL,0,0,0,0,0,0,0, Ggplot / ggplot2 , Matplotlib ,0,0,0,0,0, Seaborn ,0,0,1-2 years,0,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",0,0,"Dense Neural Networks (MLPs, etc)",0,0,0,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,0, Keras ,0, Xgboost ,0,0, LightGBM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,25-29,Male,United States of America,Masters degree,Data Engineer,50-249 employees,0,False,False,False,False,False,False,False,"100,000-124,999",$0 (USD),Udacity,Coursera,0,0,0,Kaggle Courses (i.e. Kaggle Learn),Fast.ai,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",0,0, Atom ,0,0,0,0,  Notepad++  ,  Sublime Text  ,Python,0,SQL,0,0,Java,0,0,0,0, Ggplot / ggplot2 , Matplotlib ,0,0,0, Plotly / Plotly Express ,0, Seaborn ,0,0,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,  TensorFlow ,0,0, Xgboost , PyTorch ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,40-44,Female,United States of America,Bachelors degree,Business Analyst,50-249 employees,0,False,False,False,False,False,False,False,"3,000-3,999",$100-$999,Udacity,Coursera,edX,0,0,0,0,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,0,0, PyCharm , Atom , MATLAB ,0,0,0,0,0,Python,0,0,0,C++,0,0,0,0,0,0, Matplotlib ,0,0,0,0,0,0,0,0,< 1 years,Linear or Logistic Regression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oracle Database,Microsoft Access,0,0,0,0
370,30-34,Female,Canada,Masters degree,Product/Project Manager,"> 10,000 employees",3,False,True,True,True,False,False,False,"90,000-99,999",$0 (USD),0,Coursera,edX,DataCamp,0,Kaggle Courses (i.e. Kaggle Learn),0,Udemy,0,0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",0,0,0,0,0,  Spyder  ,0,0,0,Python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,35-39,Male,United States of America,Doctoral degree,Data Scientist,"> 10,000 employees",3,True,False,True,True,True,False,False,"150,000-199,999","> $100,000 ($USD)",0,Coursera,0,0,0,0,0,0,0,University Courses (resulting in a university degree),"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,0,0,0,0,0,0,0,0,0,0,Python,R,SQL,0,0,0,0,0,0,0, Ggplot / ggplot2 , Matplotlib ,0,0,0,0,0,0,0,0,10-15 years,Linear or Logistic Regression,Decision Trees or Random Forests,0,0,0,0,0,0,Recurrent Neural Networks,0,0,0,0,0,0,0,"Encoder-decorder models (seq2seq, vanilla transformers)","Contextualized embeddings (ELMo, CoVe)",0,  Scikit-learn ,0,0,0,0, PyTorch ,0,0, Spark MLib , Fast.ai ,0,0, Microsoft Azure ,0,0,0,0,0,0,0,0,0,0
372,25-29,Male,United States of America,Masters degree,Student,Not employed,0,False,False,False,False,False,False,False,0-999,$0 (USD),Udacity,Coursera,edX,DataCamp,0,0,0,Udemy,LinkedIn Learning,University Courses (resulting in a university degree),"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio , PyCharm ,0, MATLAB ,0,  Spyder  ,0,0,0,Python,R,SQL,0,0,0,0,0,0,0, Ggplot / ggplot2 , Matplotlib ,0,0,0, Plotly / Plotly Express ,0, Seaborn , Geoplotlib ,0,< 1 years,Linear or Logistic Regression,Decision Trees or Random Forests,0,Bayesian Approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Caret ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,40-44,Male,Canada,Bachelors degree,Statistician,0-49 employees,1,True,True,True,True,True,False,False,"300,000-500,000","$10,000-$99,999",Udacity,Coursera,edX,0,0,0,Fast.ai,0,0,0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,0,0, MATLAB ,0,0,0,0,0,Python,R,SQL,0,0,0,0,0,0,0, Ggplot / ggplot2 , Matplotlib ,0, Shiny , D3.js ,0,0, Seaborn ,0,0,5-10 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,0,0,0,0,Recurrent Neural Networks,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,  TensorFlow , Keras , RandomForest,0, PyTorch ,0,0,0,0,0,0, Microsoft Azure ,0,PostgresSQL,0,Microsoft SQL Server,0,0,0,0,0,0
374,35-39,Male,United States of America,Bachelors degree,Product/Project Manager,50-249 employees,1,True,True,False,True,False,False,False,"60,000-69,999","$1000-$9,999",0,Coursera,0,DataCamp,0,0,0,Udemy,0,0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,0,0,0,0,  Spyder  ,0,0,  Sublime Text  ,Python,R,0,0,0,0,0,0,Bash,0, Ggplot / ggplot2 , Matplotlib ,0, Shiny ,0, Plotly / Plotly Express ,0,0,0,0,< 1 years,Linear or Logistic Regression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,0,0,0,0,0,0,0,0,0,0, Amazon Web Services (AWS) ,0,MySQL,0,SQLite,0,0,0,0,0,0,0
375,30-34,Male,United States of America,Some college/university study without earning a bachelors degree,Software Engineer,"> 10,000 employees",3,False,True,True,True,False,False,False,"150,000-199,999","> $100,000 ($USD)",0,Coursera,0,0,0,Kaggle Courses (i.e. Kaggle Learn),0,0,0,0,Other,5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",0,0, Atom ,0,0,0,  Vim / Emacs  ,  Notepad++  ,0,Python,0,SQL,0,C++,Java,0,0,Bash,0,0,0, Altair ,0, D3.js ,0, Bokeh ,0,0, Leaflet / Folium ,1-2 years,Linear or Logistic Regression,0,0,Bayesian Approaches,0,0,Convolutional Neural Networks,0,Recurrent Neural Networks,0,0,0,"Object detection methods (YOLOv3, RetinaNet, etc)","Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",0,0,0,0,0,0,  TensorFlow , Keras ,0, Xgboost ,0,0,0,0,0,0, Amazon Web Services (AWS) ,0,0,PostgresSQL,SQLite,0,0,0,0,0,0,0
376,35-39,Male,United States of America,Masters degree,Data Scientist,50-249 employees,3,True,True,True,True,False,False,False,"150,000-199,999","$10,000-$99,999",0,0,0,0,0,0,0,0,0,University Courses (resulting in a university degree),"Local development environments (RStudio, JupyterLab, etc.)",10-20 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,0,0,0,0,  Spyder  ,0,  Notepad++  ,0,Python,R,SQL,0,0,0,Javascript,0,Bash,0, Ggplot / ggplot2 , Matplotlib ,0,0,0,0,0,0,0,0,4-5 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",0,0,0,Convolutional Neural Networks,0,0,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,  TensorFlow ,0, RandomForest, Xgboost ,0,0,0,0,0,0, Amazon Web Services (AWS) ,0,0,PostgresSQL,0,Microsoft SQL Server,0,0,0,0,0,0
377,22-24,Prefer not to say,United States of America,Some college/university study without earning a bachelors degree,Student,Not employed,0,False,False,False,False,False,False,False,0-999,$0 (USD),0,0,0,DataCamp,0,Kaggle Courses (i.e. Kaggle Learn),0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio , PyCharm ,0, MATLAB , Visual Studio / Visual Studio Code ,  Spyder  ,0,  Notepad++  ,0,Python,R,SQL,C,C++,Java,0,0,0,MATLAB, Ggplot / ggplot2 , Matplotlib ,0,0,0,0,0,0,0,0,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,0,0,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,0,0,"Image segmentation methods (U-Net, Mask R-CNN, etc)",0,0,"Generative Networks (GAN, VAE, etc)",0,0,0,0,  Scikit-learn ,  TensorFlow ,0, RandomForest,0, PyTorch ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,40-44,Male,United States of America,Bachelors degree,Data Scientist,250-999 employees,3,True,True,True,True,True,False,False,"80,000-89,999","$10,000-$99,999",0,Coursera,0,0,0,Kaggle Courses (i.e. Kaggle Learn),0,Udemy,LinkedIn Learning,0,"Advanced statistical software (SPSS, SAS, etc.)",5-10 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",0, PyCharm ,0,0,0,0,  Vim / Emacs  ,0,  Sublime Text  ,Python,0,SQL,0,0,Java,Javascript,0,0,0,0, Matplotlib ,0,0, D3.js , Plotly / Plotly Express ,0, Seaborn ,0,0,3-4 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,0,0,Convolutional Neural Networks,0,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-2, etc)",0,0,"Object detection methods (YOLOv3, RetinaNet, etc)","Image classification and other general purpose networks (VGG, Inception, ResNet, ResNeXt, NASNet, EfficientNet, etc)",0,"Word embeddings/vectors (GLoVe, fastText, word2vec)","Encoder-decorder models (seq2seq, vanilla transformers)",0,"Transformer language models (GPT-2, BERT, XLnet, etc)",  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch ,0,0,0,0,0, Amazon Web Services (AWS) , Microsoft Azure ,MySQL,0,SQLite,Microsoft SQL Server,Oracle Database,0,0,AWS DynamoDB,Azure SQL Database,0
379,40-44,Male,United States of America,Masters degree,Data Scientist,"> 10,000 employees",3,True,True,True,True,True,True,False,"150,000-199,999","> $100,000 ($USD)",0,0,0,0,0,0,0,0,0,0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",20+ years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ",0, PyCharm ,0,0,0,0,0,  Notepad++  ,  Sublime Text  ,Python,R,SQL,0,0,Java,0,0,Bash,0, Ggplot / ggplot2 , Matplotlib ,0,0,0,0,0, Seaborn ,0,0,5-10 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,0,0, RandomForest, Xgboost ,0, Caret ,0, Spark MLib ,0,0, Amazon Web Services (AWS) ,0,0,0,0,0,Oracle Database,0,AWS Relational Database Service,AWS DynamoDB,0,0
380,25-29,Male,United States of America,Bachelors degree,Data Engineer,50-249 employees,1,True,True,False,True,False,False,False,"40,000-49,999","$10,000-$99,999",0,0,0,DataCamp,0,Kaggle Courses (i.e. Kaggle Learn),0,0,0,University Courses (resulting in a university degree),"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",3-5 years,0,0,0,0,0, Visual Studio / Visual Studio Code ,0,0,  Notepad++  ,0,Python,0,SQL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2 years,Linear or Logistic Regression,Decision Trees or Random Forests,0,Bayesian Approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,0,0, RandomForest,0,0,0,0,0,0,0,0, Microsoft Azure ,0,0,0,Microsoft SQL Server,0,0,0,0,Azure SQL Database,0
381,22-24,Male,United States of America,Masters degree,Student,Not employed,0,False,False,False,False,False,False,False,0-999,$0 (USD),0,0,edX,DataCamp,0,0,0,0,0,University Courses (resulting in a university degree),"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,0, RStudio ,0,0,0,0,0,0,0,0,Python,R,SQL,0,0,0,0,0,0,0, Ggplot / ggplot2 ,0,0,0,0,0,0,0,0,0,< 1 years,Linear or Logistic Regression,0,0,Bayesian Approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,25-29,Female,United States of America,Masters degree,Data Scientist,50-249 employees,2,True,True,True,True,True,False,False,"100,000-124,999",$0 (USD),0,Coursera,0,0,DataQuest,0,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", RStudio ,0, Atom ,0,0,0,0,0,0,Python,R,SQL,0,0,0,0,0,Bash,0, Ggplot / ggplot2 ,0,0,0,0, Plotly / Plotly Express ,0, Seaborn ,0,0,3-4 years,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  Scikit-learn ,0, Keras , RandomForest, Xgboost ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
